vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Car,Car,12/05/18,08:19,0,17,70,67,65 - 70,1,1,0,Residential,Nairobi
Car,Pedestrian,09/08/18,13:03,0,24,30,24,20 - 25,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,09/06/18,20:10,0,17,20,20,20 - 25,N/A,1,0,Industrial,Nairobi
Car,Motorbike,09/09/18,17:48,1,17,50,48,45 - 50,1,1,0,Commercial,Kikuyu
Car,Car,27/08/18,10:51,0,6,60,60,60 - 65,1,1,0,Residential,Nairobi
Motorbike,Bicycle,18/01/18,08:10,1,21,20,31,30 - 35,N/A,1,0,Residential,Nairobi
Motorbike,Car,01/01/18,19:54,1,27,40,35,35 - 40,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,13/08/18,17:33,0,1,30,30,30 - 35,N/A,0,0,Residential,Kisumu
Car,Car,08/05/18,17:08,0,24,50,42,40 - 45,1,1,0,Transport,Nakuru
Car,Motorbike,12/09/18,18:46,0,15,60,73,70 - 75,1,1,0,Transport,Mombasa
Bicycle,Bicycle,09/05/18,20:49,0,7,20,19,15 - 20,N/A,0,0,Industrial,Nairobi
Pedestrian,Pedestrian,24/09/18,17:39,0,2,30,16,15 - 20,N/A,0,0,Residential,Mombasa
Pedestrian,Pedestrian,22/02/18,10:07,0,2,20,25,25 - 30,N/A,0,0,Commercial,Kehancha
Car,Car,19/01/18,08:51,0,1,70,71,70 - 75,1,1,1,Industrial,Mombasa
Motorbike,Pedestrian,13/12/18,17:09,0,44,20,20,20 - 25,N/A,1,0,Industrial,Mombasa
Motorbike,Bicycle,03/09/18,08:33,0,7,20,24,20 - 25,N/A,1,0,Commercial,Nairobi
Car,Motorbike,20/10/18,19:10,1,1,40,30,30 - 35,1,1,0,Commercial,Nairobi
Car,Car,23/06/18,10:21,0,21,50,43,40 - 45,0,1,1,Residential,Nairobi
Bicycle,Pedestrian,06/07/18,12:07,0,24,20,6,5 - 10,N/A,1,0,Residential,Mombasa
Car,Car,04/02/18,11:07,0,11,40,49,45 - 50,1,1,0,Residential,Nairobi
Car,Car,11/06/18,18:47,1,24,70,67,65 - 70,1,1,0,Commercial,Nairobi
Car,Car,16/11/18,17:25,0,13,60,64,60 - 65,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,08/08/18,22:58,0,11,30,33,30 - 35,N/A,1,0,Residential,Nairobi
Pedestrian,Motorbike,14/03/18,20:53,0,21,40,33,30 - 35,N/A,1,0,Transport,Nakuru
Car,Car,27/12/18,09:24,0,6,50,50,50 - 55,0,1,0,Residential,Eldoret
Car,Car,24/02/18,07:08,1,17,70,80,80 - 85,1,1,1,Commercial,Nairobi
Car,Pedestrian,28/09/18,13:08,0,23,40,34,30 - 35,1,1,0,Residential,Nairobi
Motorbike,Motorbike,16/04/18,17:14,0,21,40,51,50 - 55,N/A,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,11/10/18,06:07,1,16,30,30,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Car,13/09/18,15:09,0,30,60,46,45 - 50,1,1,1,Transport,Nairobi
Car,Car,16/04/18,03:11,0,15,50,51,50 - 55,0,1,0,Residential,Mombasa
Car,Bicycle,27/06/18,03:39,1,13,20,9,5 - 10,1,0,0,Commercial,Nairobi
Motorbike,Car,17/07/18,17:01,0,12,40,41,40 - 45,1,1,0,Residential,Nairobi
Bicycle,Car,22/06/18,08:03,0,4,30,30,30 - 35,1,0,0,Residential,Nairobi
Pedestrian,Bicycle,01/05/18,16:08,1,15,20,24,20 - 25,N/A,0,0,Transport,Nairobi
Motorbike,Car,07/07/18,20:22,0,14,20,21,20 - 25,1,1,1,Residential,Mombasa
Car,Car,28/08/18,17:27,1,23,70,70,70 - 75,1,1,0,Industrial,Kehancha
Car,Car,04/08/18,00:50,1,21,50,63,60 - 65,0,1,1,Commercial,Kikuyu
Motorbike,Car,13/10/18,18:45,0,29,70,76,75 - 80,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,01/01/18,17:27,1,10,20,9,5 - 10,N/A,0,0,Residential,Nairobi
Motorbike,Bicycle,28/03/18,08:10,0,47,30,37,35 - 40,N/A,1,0,Residential,Nairobi
Pedestrian,Motorbike,11/12/18,10:30,0,21,30,43,40 - 45,N/A,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,01/03/18,10:10,0,27,20,19,15 - 20,N/A,0,0,Residential,Mombasa
Pedestrian,Car,19/07/18,20:46,0,20,40,37,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,24/11/18,06:50,0,6,70,76,75 - 80,1,1,0,Agricultural,Nairobi
Car,Car,03/04/18,20:51,0,29,40,35,35 - 40,1,1,0,Residential,Nairobi
Car,Car,16/07/18,20:20,1,28,50,53,50 - 55,1,1,0,Commercial,Nairobi
Car,Car,15/05/18,00:51,1,11,50,54,50 - 55,1,1,0,Residential,Nakuru
Bicycle,Bicycle,05/03/18,20:52,0,11,30,22,20 - 25,N/A,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,06/08/18,19:17,0,11,30,38,35 - 40,N/A,1,0,Commercial,Nairobi
Pedestrian,Motorbike,11/10/18,20:16,0,22,30,34,30 - 35,N/A,1,0,Residential,Nairobi
Car,Car,04/03/18,13:22,0,10,50,41,40 - 45,0,1,0,Residential,Eldoret
Car,Car,01/11/18,19:19,1,22,60,56,55 - 60,0,1,1,Commercial,Nairobi
Car,Car,14/09/18,09:28,0,1,60,49,45 - 50,1,1,0,Transport,Nairobi
Car,Motorbike,27/09/18,17:02,1,2,40,48,45 - 50,1,1,0,Commercial,Nairobi
Bicycle,Bicycle,21/04/18,16:29,0,19,30,31,30 - 35,N/A,1,0,Residential,Nairobi
Car,Motorbike,16/12/18,20:54,0,14,50,45,45 - 50,1,1,0,Residential,Mombasa
Car,Car,22/09/18,17:56,0,17,50,47,45 - 50,1,1,0,Residential,Mombasa
Pedestrian,Car,06/05/18,05:50,1,17,30,42,40 - 45,1,0,0,Residential,Nairobi
Bicycle,Car,03/02/18,09:18,0,12,40,40,40 - 45,1,1,0,Transport,Nairobi
Car,Car,16/07/18,09:28,0,14,50,47,45 - 50,1,1,1,Residential,Eldoret
Car,Motorbike,07/02/18,19:04,0,14,50,48,45 - 50,1,1,0,Transport,Nairobi
Bicycle,Car,20/10/18,05:10,0,25,40,34,30 - 35,1,1,0,Agricultural,Nairobi
Bicycle,Car,02/02/18,18:23,0,29,30,24,20 - 25,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,03/04/18,09:49,1,28,40,42,40 - 45,N/A,1,0,Transport,Nairobi
Car,Pedestrian,19/12/18,07:13,1,10,20,23,20 - 25,1,1,0,Residential,Mombasa
Bicycle,Bicycle,01/03/18,18:33,0,23,30,35,35 - 40,N/A,0,0,Agricultural,Nairobi
Pedestrian,Bicycle,07/11/18,16:06,1,3,40,39,35 - 40,N/A,0,0,Residential,Nairobi
Car,Motorbike,02/10/18,07:47,0,37,60,53,50 - 55,0,1,1,Residential,Mombasa
Bicycle,Pedestrian,05/11/18,18:51,0,28,20,11,10 - 15,N/A,0,0,Transport,Nairobi
Bicycle,Car,01/06/18,10:15,0,28,30,28,25 - 30,1,1,0,Agricultural,Mombasa
Motorbike,Bicycle,20/04/18,16:37,0,17,20,19,15 - 20,N/A,1,0,Residential,Nairobi
Pedestrian,Car,24/06/18,17:01,0,4,40,34,30 - 35,1,0,0,Commercial,Nairobi
Car,Motorbike,15/12/18,17:32,0,10,60,56,55 - 60,0,1,1,Residential,Nairobi
Bicycle,Bicycle,18/07/18,19:04,0,17,20,18,15 - 20,N/A,1,0,Agricultural,Nairobi
Pedestrian,Car,25/08/18,19:32,0,26,40,37,35 - 40,0,1,0,Transport,Kikuyu
Car,Car,27/07/18,10:10,1,10,60,59,55 - 60,0,1,0,Residential,Nairobi
Car,Motorbike,05/06/18,10:59,1,22,40,39,35 - 40,0,1,0,Industrial,Eldoret
Pedestrian,Pedestrian,08/02/18,18:23,0,21,20,16,15 - 20,N/A,0,0,Residential,Nakuru
Pedestrian,Car,13/02/18,15:39,0,22,40,47,45 - 50,0,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,24/11/18,09:02,0,21,30,29,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,20/05/18,09:20,0,20,50,56,55 - 60,1,1,1,Residential,Nairobi
Bicycle,Pedestrian,26/03/18,19:43,0,7,20,18,15 - 20,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,13/01/18,09:56,0,14,30,22,20 - 25,N/A,1,0,Residential,Nairobi
Motorbike,Car,04/10/18,17:22,0,22,60,51,50 - 55,1,1,0,Industrial,Mombasa
Pedestrian,Bicycle,09/09/18,10:04,1,9,20,21,20 - 25,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,16/12/18,08:18,1,26,30,28,25 - 30,N/A,1,0,Commercial,Nairobi
Motorbike,Motorbike,19/09/18,19:44,1,29,40,32,30 - 35,N/A,1,0,Commercial,Nairobi
Bicycle,Motorbike,27/03/18,20:36,0,29,40,41,40 - 45,N/A,1,0,Transport,Nairobi
Bicycle,Car,12/10/18,20:48,0,4,40,28,25 - 30,1,0,0,Residential,Nairobi
Car,Motorbike,14/12/18,13:21,0,10,60,65,65 - 70,1,1,1,Commercial,Nairobi
Pedestrian,Pedestrian,21/03/18,20:47,0,28,30,27,25 - 30,N/A,1,0,Agricultural,Kisumu
Motorbike,Car,10/02/18,17:47,0,16,40,35,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,04/12/18,08:05,0,5,50,43,40 - 45,1,1,0,Industrial,Mombasa
Motorbike,Bicycle,17/01/18,17:16,0,21,30,37,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Car,27/02/18,20:54,0,23,60,49,45 - 50,1,1,1,Agricultural,Nairobi
Bicycle,Bicycle,14/09/18,01:21,1,8,30,37,35 - 40,N/A,1,0,Commercial,Nairobi
Motorbike,Car,03/05/18,09:18,0,25,50,57,55 - 60,1,1,0,Agricultural,Nairobi
Motorbike,Bicycle,03/03/18,22:09,0,33,20,7,5 - 10,N/A,1,0,Agricultural,Nairobi
Car,Car,13/10/18,19:42,1,15,50,57,55 - 60,1,1,0,Commercial,Mombasa
Car,Bicycle,26/04/18,20:47,0,19,30,17,15 - 20,1,1,1,Agricultural,Nairobi
Car,Car,12/06/18,01:00,1,21,40,40,40 - 45,1,1,0,Residential,Nairobi
Car,Pedestrian,15/07/18,10:36,0,10,40,35,35 - 40,0,1,0,Residential,Nakuru
Car,Motorbike,01/12/18,17:08,0,17,30,33,30 - 35,1,1,0,Residential,Mombasa
Motorbike,Bicycle,17/08/18,08:26,0,13,20,25,25 - 30,N/A,1,0,Agricultural,Nairobi
Motorbike,Motorbike,03/12/18,09:39,1,15,20,23,20 - 25,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,19/10/18,22:14,0,1,40,45,45 - 50,N/A,1,0,Commercial,Nairobi
Bicycle,Car,05/03/18,18:17,0,12,40,35,35 - 40,1,1,0,Industrial,Nairobi
Bicycle,Pedestrian,15/01/18,19:22,0,22,20,15,15 - 20,N/A,1,0,Agricultural,Nairobi
Car,Car,05/03/18,05:52,0,13,60,60,60 - 65,1,1,0,Industrial,Kikuyu
Bicycle,Bicycle,08/01/18,17:42,0,28,30,34,30 - 35,N/A,0,0,Agricultural,Nairobi
Motorbike,Car,27/01/18,08:12,1,20,60,70,70 - 75,1,1,0,Agricultural,Nairobi
Pedestrian,Car,02/01/18,22:57,0,16,30,30,30 - 35,1,1,0,Agricultural,Nairobi
Car,Motorbike,03/04/18,10:49,1,28,40,51,50 - 55,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,19/05/18,17:43,0,17,20,32,30 - 35,N/A,0,0,Residential,Mombasa
Bicycle,Car,09/09/18,19:57,1,3,40,40,40 - 45,1,0,0,Agricultural,Nakuru
Car,Car,14/09/18,00:23,0,8,70,77,75 - 80,1,1,1,Commercial,Nairobi
Pedestrian,Pedestrian,07/11/18,20:10,1,21,30,32,30 - 35,N/A,0,0,Commercial,Nairobi
Pedestrian,Pedestrian,28/06/18,09:38,0,11,20,24,20 - 25,N/A,0,0,Agricultural,Nairobi
Car,Car,15/11/18,05:02,0,22,50,50,50 - 55,0,1,0,Industrial,Kehancha
Motorbike,Bicycle,01/08/18,18:22,1,10,30,24,20 - 25,N/A,1,0,Residential,Mombasa
Car,Car,18/06/18,02:43,1,20,30,23,20 - 25,1,1,0,Agricultural,Nairobi
Motorbike,Car,15/01/18,18:14,1,28,50,52,50 - 55,1,1,0,Residential,Nairobi
Car,Car,09/08/18,18:50,0,15,70,70,70 - 75,1,1,0,Commercial,Nairobi
Car,Car,11/04/18,10:55,0,9,50,46,45 - 50,1,1,0,Commercial,Nairobi
Motorbike,Bicycle,28/03/18,19:26,0,7,30,29,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,10/03/18,19:49,0,16,50,61,60 - 65,1,1,1,Agricultural,Kehancha
Car,Car,11/05/18,18:12,0,25,50,58,55 - 60,1,1,0,Transport,Mombasa
Pedestrian,Motorbike,19/06/18,08:49,0,30,40,42,40 - 45,N/A,1,0,Agricultural,Eldoret
Pedestrian,Bicycle,19/01/18,08:17,0,22,20,16,15 - 20,N/A,1,0,Commercial,Nairobi
Bicycle,Motorbike,09/03/18,18:32,1,15,30,29,25 - 30,N/A,1,0,Residential,Mombasa
Bicycle,Bicycle,06/12/18,09:11,0,18,30,25,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,01/05/18,09:41,1,33,50,54,50 - 55,1,1,0,Residential,Nairobi
Car,Pedestrian,25/03/18,18:05,1,18,40,39,35 - 40,1,0,0,Residential,Nairobi
Car,Bicycle,14/04/18,08:47,0,16,30,27,25 - 30,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,25/12/18,08:13,0,24,20,9,5 - 10,N/A,1,0,Residential,Mombasa
Car,Pedestrian,15/04/18,16:18,1,14,30,30,30 - 35,1,1,0,Commercial,Nairobi
Car,Car,07/12/18,09:54,1,14,60,65,65 - 70,1,1,0,Residential,Mombasa
Car,Bicycle,27/07/18,19:47,0,15,50,53,50 - 55,1,1,0,Agricultural,Nairobi
Car,Pedestrian,19/01/18,20:39,0,9,30,28,25 - 30,1,1,0,Industrial,Mombasa
Pedestrian,Bicycle,23/09/18,04:05,0,35,30,30,30 - 35,N/A,0,0,Residential,Nairobi
Car,Motorbike,14/07/18,16:24,0,19,40,36,35 - 40,1,1,0,Residential,Kisumu
Bicycle,Pedestrian,13/05/18,17:05,0,22,30,19,15 - 20,N/A,0,0,Commercial,Nairobi
Motorbike,Pedestrian,21/05/18,10:38,1,15,40,36,35 - 40,N/A,1,0,Residential,Nairobi
Motorbike,Bicycle,05/11/18,10:39,0,19,40,46,45 - 50,N/A,1,0,Agricultural,Nairobi
Motorbike,Car,11/08/18,19:20,0,14,60,52,50 - 55,1,1,0,Residential,Nairobi
Car,Car,01/01/18,01:34,1,14,60,61,60 - 65,0,1,1,Residential,Mombasa
Car,Bicycle,16/08/18,19:41,0,15,50,51,50 - 55,0,1,1,Residential,Eldoret
Bicycle,Bicycle,07/04/18,18:42,0,9,30,36,35 - 40,N/A,1,0,Residential,Nairobi
Car,Car,18/07/18,18:11,0,17,50,42,40 - 45,1,1,0,Transport,Kikuyu
Pedestrian,Car,03/12/18,10:27,1,20,40,47,45 - 50,1,1,0,Commercial,Nairobi
Car,Car,10/10/18,10:32,1,7,40,35,35 - 40,0,1,0,Residential,Nairobi
Car,Motorbike,21/05/18,18:39,1,25,50,41,40 - 45,1,1,0,Residential,Nairobi
Car,Pedestrian,12/11/18,09:29,1,24,20,25,25 - 30,0,1,0,Transport,Mombasa
Pedestrian,Car,22/06/18,06:27,0,13,30,30,30 - 35,1,1,0,Commercial,Nairobi
Motorbike,Pedestrian,16/05/18,20:02,1,40,40,53,50 - 55,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,07/11/18,08:37,1,18,30,27,25 - 30,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,05/02/18,20:22,1,20,20,17,15 - 20,N/A,1,0,Residential,Mombasa
Pedestrian,Motorbike,27/12/18,08:35,0,9,40,54,50 - 55,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,04/03/18,23:19,0,1,30,34,30 - 35,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,23/05/18,06:50,0,15,20,16,15 - 20,N/A,1,0,Residential,Nairobi
Car,Car,26/11/18,08:51,1,3,40,43,40 - 45,0,1,0,Commercial,Kehancha
Pedestrian,Motorbike,24/07/18,03:58,0,12,30,39,35 - 40,N/A,1,0,Commercial,Nairobi
Motorbike,Bicycle,19/01/18,09:54,0,5,20,22,20 - 25,N/A,1,0,Commercial,Nairobi
Pedestrian,Bicycle,06/01/18,18:51,0,35,20,27,25 - 30,N/A,0,0,Residential,Nairobi
Motorbike,Car,03/09/18,20:42,0,10,50,52,50 - 55,1,1,1,Residential,Nairobi
Car,Pedestrian,17/08/18,19:49,1,24,30,41,40 - 45,0,1,1,Residential,Nairobi
Car,Car,26/12/18,19:34,0,22,40,32,30 - 35,0,1,0,Residential,Mombasa
Car,Motorbike,28/02/18,09:22,0,5,60,72,70 - 75,0,1,1,Industrial,Kikuyu
Car,Car,27/03/18,15:54,1,9,60,62,60 - 65,1,1,0,Industrial,Nairobi
Car,Bicycle,19/11/18,09:46,0,9,40,38,35 - 40,1,1,0,Industrial,Nairobi
Pedestrian,Pedestrian,13/03/18,08:40,0,24,20,24,20 - 25,N/A,0,0,Agricultural,Nairobi
Motorbike,Bicycle,06/06/18,17:41,0,13,30,22,20 - 25,N/A,1,0,Agricultural,Kehancha
Car,Motorbike,22/03/18,17:02,1,21,50,48,45 - 50,1,1,0,Commercial,Nairobi
Car,Car,05/03/18,17:44,1,13,60,63,60 - 65,1,1,0,Residential,Nairobi
Car,Car,26/06/18,08:15,0,30,70,81,80 - 85,1,1,0,Residential,Nairobi
Car,Car,28/03/18,09:20,0,25,70,75,75 - 80,0,1,1,Commercial,Kehancha
Car,Car,19/04/18,07:35,1,16,60,60,60 - 65,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,01/11/18,18:13,0,0,30,30,30 - 35,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,19/05/18,19:40,0,35,30,22,20 - 25,N/A,1,0,Agricultural,Nairobi
Motorbike,Motorbike,27/11/18,17:36,0,11,40,50,50 - 55,N/A,1,0,Residential,Nairobi
Pedestrian,Motorbike,04/08/18,18:52,0,21,50,58,55 - 60,N/A,1,0,Residential,Nairobi
Car,Car,15/10/18,18:46,0,2,50,44,40 - 45,1,0,0,Transport,Eldoret
Pedestrian,Pedestrian,04/07/18,14:13,0,25,40,35,35 - 40,N/A,1,0,Transport,Nairobi
Motorbike,Car,09/04/18,10:11,1,5,60,66,65 - 70,1,1,0,Industrial,Nairobi
Motorbike,Bicycle,22/06/18,08:47,1,18,40,46,45 - 50,N/A,1,0,Commercial,Kisumu
Pedestrian,Car,15/03/18,08:57,1,11,30,24,20 - 25,1,1,0,Transport,Mombasa
Bicycle,Motorbike,03/03/18,20:40,1,23,40,47,45 - 50,N/A,1,0,Commercial,Nairobi
Car,Car,28/10/18,10:20,0,6,40,41,40 - 45,1,1,0,Agricultural,Nairobi
Car,Car,27/04/18,08:18,0,12,60,58,55 - 60,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,17/07/18,08:42,1,13,30,31,30 - 35,N/A,1,0,Transport,Nairobi
Car,Motorbike,04/02/18,18:38,0,5,40,43,40 - 45,1,1,0,Residential,Nairobi
Car,Motorbike,27/12/18,20:30,0,14,40,40,40 - 45,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,12/12/18,08:19,1,2,30,28,25 - 30,N/A,1,0,Industrial,Nairobi
Bicycle,Car,15/10/18,23:31,0,20,30,45,45 - 50,0,1,0,Agricultural,Nairobi
Bicycle,Motorbike,11/07/18,17:56,0,10,40,39,35 - 40,N/A,1,0,Residential,Eldoret
Car,Car,28/05/18,08:29,0,40,50,47,45 - 50,1,1,0,Residential,Mombasa
Bicycle,Bicycle,11/08/18,10:18,1,23,20,14,10 - 15,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,18/12/18,21:30,0,35,20,17,15 - 20,N/A,1,0,Industrial,Nairobi
Car,Motorbike,03/09/18,19:36,0,17,70,66,65 - 70,1,1,1,Residential,Mombasa
Car,Motorbike,13/05/18,11:56,0,20,40,42,40 - 45,1,1,0,Agricultural,Nairobi
Car,Car,16/01/18,23:16,1,30,50,50,50 - 55,0,1,1,Commercial,Kisumu
Car,Car,11/10/18,08:32,0,8,70,61,60 - 65,0,1,1,Residential,Mombasa
Motorbike,Bicycle,02/11/18,10:21,0,20,30,33,30 - 35,N/A,1,0,Residential,Mombasa
Bicycle,Pedestrian,23/08/18,19:56,0,17,30,21,20 - 25,N/A,1,0,Residential,Nairobi
Pedestrian,Car,08/06/18,19:43,1,1,30,20,20 - 25,1,0,0,Residential,Mombasa
Bicycle,Bicycle,09/03/18,18:28,1,7,30,21,20 - 25,N/A,1,0,Residential,Mombasa
Car,Car,28/09/18,08:48,0,20,60,60,60 - 65,1,1,1,Commercial,Kisumu
Car,Bicycle,16/01/18,21:08,1,15,30,37,35 - 40,0,1,0,Residential,Nakuru
Car,Car,28/05/18,17:28,1,4,70,69,65 - 70,1,1,0,Residential,Nairobi
Car,Car,18/09/18,14:01,1,24,50,55,55 - 60,0,1,1,Residential,Eldoret
Car,Car,03/08/18,08:59,1,16,40,32,30 - 35,1,1,0,Residential,Nairobi
Motorbike,Motorbike,25/08/18,10:06,1,13,40,34,30 - 35,N/A,1,0,Industrial,Nairobi
Pedestrian,Pedestrian,12/10/18,19:53,1,14,20,21,20 - 25,N/A,1,0,Commercial,Nairobi
Bicycle,Car,12/08/18,18:51,0,20,40,29,25 - 30,0,1,0,Residential,Nairobi
Car,Car,13/08/18,20:44,1,13,60,56,55 - 60,1,1,0,Transport,Nairobi
Car,Pedestrian,10/05/18,19:48,0,29,20,13,10 - 15,0,1,0,Transport,Nairobi
Car,Pedestrian,12/01/18,09:04,0,1,20,20,20 - 25,1,0,0,Residential,Nairobi
Car,Bicycle,26/06/18,20:44,0,16,30,35,35 - 40,0,1,0,Residential,Nakuru
Motorbike,Pedestrian,24/05/18,04:17,0,14,30,16,15 - 20,N/A,1,0,Industrial,Nairobi
Car,Car,21/08/18,19:55,0,17,60,54,50 - 55,0,1,1,Agricultural,Nairobi
Motorbike,Pedestrian,03/06/18,11:58,0,3,30,30,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Car,22/01/18,10:21,0,20,60,64,60 - 65,0,1,1,Agricultural,Eldoret
Motorbike,Pedestrian,14/03/18,17:20,0,15,20,28,25 - 30,N/A,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,18/03/18,17:59,0,21,30,30,30 - 35,N/A,1,0,Industrial,Kehancha
Car,Car,06/03/18,10:24,0,23,40,40,40 - 45,0,1,0,Agricultural,Nairobi
Car,Bicycle,04/05/18,19:33,0,14,30,38,35 - 40,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,18/01/18,19:33,0,17,30,32,30 - 35,N/A,0,0,Commercial,Nakuru
Pedestrian,Bicycle,20/09/18,20:46,0,4,30,27,25 - 30,N/A,0,0,Residential,Mombasa
Car,Car,28/12/18,02:29,0,24,50,36,35 - 40,0,1,0,Residential,Nairobi
Bicycle,Bicycle,08/08/18,19:26,0,13,30,36,35 - 40,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,23/02/18,12:01,0,31,30,20,20 - 25,N/A,1,0,Agricultural,Nakuru
Bicycle,Motorbike,02/04/18,08:55,1,16,30,24,20 - 25,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,19/05/18,10:17,0,23,30,30,30 - 35,N/A,1,0,Agricultural,Kisumu
Bicycle,Bicycle,27/04/18,22:36,0,9,20,29,25 - 30,N/A,0,0,Residential,Mombasa
Pedestrian,Bicycle,22/04/18,18:26,0,21,20,25,25 - 30,N/A,0,0,Agricultural,Nakuru
Bicycle,Car,26/08/18,19:56,1,8,20,22,20 - 25,1,0,0,Residential,Nairobi
Car,Motorbike,18/08/18,15:21,0,17,50,62,60 - 65,1,1,0,Residential,Nairobi
Motorbike,Car,27/04/18,18:19,0,23,50,56,55 - 60,1,1,0,Agricultural,Mombasa
Car,Motorbike,26/08/18,08:03,1,12,50,50,50 - 55,0,1,1,Residential,Kikuyu
Car,Motorbike,16/11/18,20:11,0,28,40,33,30 - 35,0,1,1,Agricultural,Nairobi
Bicycle,Bicycle,07/03/18,08:50,0,16,30,31,30 - 35,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,22/08/18,17:22,1,22,20,32,30 - 35,N/A,0,0,Residential,Mombasa
Car,Car,04/07/18,17:42,0,26,60,70,70 - 75,1,1,0,Residential,Nairobi
Car,Motorbike,18/11/18,08:47,0,1,60,60,60 - 65,1,1,1,Agricultural,Nairobi
Motorbike,Motorbike,21/01/18,08:57,0,26,40,41,40 - 45,N/A,1,0,Commercial,Nairobi
Motorbike,Bicycle,22/02/18,18:13,0,14,20,30,30 - 35,N/A,1,0,Residential,Mombasa
Car,Bicycle,08/07/18,18:34,1,7,30,30,30 - 35,1,1,0,Residential,Mombasa
Bicycle,Car,25/02/18,03:35,0,15,40,47,45 - 50,1,1,0,Agricultural,Kisumu
Car,Pedestrian,21/10/18,10:10,1,12,40,36,35 - 40,1,1,0,Commercial,Kikuyu
Car,Car,11/08/18,09:04,1,13,40,34,30 - 35,0,1,0,Commercial,Nairobi
Motorbike,Bicycle,04/03/18,19:54,0,7,20,29,25 - 30,N/A,1,0,Residential,Kikuyu
Bicycle,Bicycle,24/10/18,22:34,0,29,20,13,10 - 15,N/A,1,0,Agricultural,Nairobi
Pedestrian,Car,13/12/18,17:36,0,9,30,31,30 - 35,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,14/11/18,17:50,0,20,20,16,15 - 20,N/A,0,0,Residential,Nakuru
Bicycle,Pedestrian,15/08/18,20:36,1,30,30,18,15 - 20,N/A,1,0,Commercial,Mombasa
Motorbike,Car,08/02/18,09:11,1,43,40,34,30 - 35,1,1,0,Commercial,Nairobi
Car,Car,01/09/18,08:33,0,8,60,62,60 - 65,0,1,1,Residential,Nairobi
Car,Car,19/12/18,17:19,0,9,40,51,50 - 55,1,1,1,Industrial,Kehancha
Motorbike,Bicycle,26/05/18,19:40,0,24,20,9,5 - 10,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,10/11/18,09:53,0,8,40,26,25 - 30,N/A,1,0,Residential,Mombasa
Car,Car,26/04/18,09:40,0,13,50,55,55 - 60,1,1,0,Residential,Eldoret
Pedestrian,Bicycle,10/01/18,17:13,0,8,20,31,30 - 35,N/A,0,0,Commercial,Eldoret
Car,Car,02/04/18,08:36,0,31,40,41,40 - 45,1,1,0,Agricultural,Nairobi
Car,Car,01/06/18,11:35,1,13,60,53,50 - 55,1,1,0,Residential,Eldoret
Pedestrian,Bicycle,26/11/18,03:37,1,4,20,14,10 - 15,N/A,1,0,Transport,Eldoret
Motorbike,Bicycle,10/06/18,01:58,1,36,40,44,40 - 45,N/A,1,1,Commercial,Nairobi
Motorbike,Bicycle,19/06/18,16:15,0,6,30,24,20 - 25,N/A,1,0,Agricultural,Mombasa
Car,Car,23/06/18,18:58,1,18,70,76,75 - 80,1,1,0,Residential,Mombasa
Pedestrian,Motorbike,09/06/18,08:17,0,29,20,14,10 - 15,N/A,1,0,Transport,Mombasa
